省份,城市,城市代码,市辖区县,市辖区县代码,城镇,城镇代码
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,郑旗乡,640522207000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,贾塘乡,640522208000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,曹洼乡,640522209000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,九彩乡,640522210000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,李俊乡,640522211000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,红羊乡,640522212000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,关庄乡,640522213000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,甘城乡,640522214000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,种羊场,640522400000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,南华山自然保护区管理处,640522401000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,老城管理办公室,640522402000
宁夏回族自治区,中卫市,640500000000,海原县,640522000000,海兴开发区,640522406000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,宁安镇,640521100000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,鸣沙镇,640521101000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,石空镇,640521102000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,新堡镇,640521103000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,恩和镇,640521104000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,大战场镇,640521105000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,舟塔乡,640521200000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,白马乡,640521201000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,余丁乡,640521202000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,喊叫水乡,640521204000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,徐套乡,640521205000
宁夏回族自治区,中卫市,640500000000,中宁县,640521000000,太阳梁乡,640521206000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,滨河镇,640502100000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,文昌镇,640502101000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,东园镇,640502102000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,柔远镇,640502103000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,镇罗镇,640502104000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,宣和镇,640502105000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,永康镇,640502106000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,常乐镇,640502107000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,迎水桥镇,640502108000
宁夏回族自治区,中卫市,640500000000,沙坡头区,640502000000,兴仁镇,640502109000
